Kit Name,Product ID,Quantity,,,,
Nintendo Wii Console -1 - White- KIT,Nintendo Wii Console - White,1,,,,
,Wii Remote Control - White,1,,,,
,Wii Nunchuck - White,1,,,,
,Wii Sensor Bar,1,,,,
,Wii AC Adapter,1,,,,
,Wii AV Cable,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 10,0.125,,,,
Nintendo Wii Console - 2 - White - KIT,Nintendo Wii Console - White,1,,,,
,Wii Remote Control - White,2,,,,
,Wii Nunchuck - White,2,,,,
,Wii Sensor Bar,1,,,,
,Wii AC Adapter,1,,,,
,Wii AV Cable,1,,,,
,Wii Remote Charging Dock -White,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 10,0.125,,,,
Nintendo Wii Console - 2 - Black - Kit,Nintendo Wii Console - Black,1,,,,
,Wii Remote Control - Black,2,,,,
,Wii Nunchuck - Black,2,,,,
,Wii Sensor Bar,1,,,,
,Wii AC Adapter,1,,,,
,Wii AV Cable,1,,,,
,Wii Remote Charging Dock - Black,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 10,0.125,,,,
Sony Playstation 2 Slim Wired - Black - Kit,PS2 Slim Console Only - Black,1,,,,
,PS2 Controller Generic - Black,1,,,,
,PS2 AC Adapter,1,,,,
,PS2 AV Cables,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 14,0.072,,,,
Sony Playstation 2 Slim Wireless - Black - Kit,PS2 Slim Console Only - Black,1,,,,
,PS2 Controller Wireless Generic - Black,2,,,,
,PS2 AC Adapter,1,,,,
,PS2 AV Cables,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 14,0.072,,,,
Sony Playstation 2 Fat Wired - Black - Kit,PS2 Fat Console,1,,,,
,PS2 Controller Wired Generic - Black,1,,,,
,PS2 AC Adapter,1,,,,
,PS2 AV Cables,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 14,0.2,,,,
Sony Playstation 2 Fat Wireless - Black - Kit,PS2 Fat Console,1,,,,
,PS2 Controller Wireless Generic - Black,1,,,,
,PS2 AC Adapter,1,,,,
,PS2 AV Cables,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 12,0.2,,,,
Sony Playstation 3 Slim 160GB - Kit,PS3 Slim Console,1,,,,
,PS3 Controller Generic - Black,1,,,,
,PS3 160GB Hard Drive Generic,1,,,,
,PS3 Slim Hard Drive Caddy Generic,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 12,0.2,,,,
Sony Playstation 3 Super Slim - 500GB -Black - Kit,PS3 Super Slim 12GB,1,,,,
,PS3 Controller Generic - Black,1,,,,
,PS3 500GB Hard Drive Generic,1,,,,
,PS3 Super Slim Hard Drive Caddy Generic,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 12,0.17,,,,
Sony Playstation 3 Slim - 320GB - Black - Kit,PS3 Slim Console,1,,,,
Sony Playstation 3 Slim - 320GB - Black - Kit,PS3 Controller Generic - Black,1,,,,
,PS3 320GB Hard Drive Generic,1,,,,
,PS3 Slim Hard Drive Caddy Generic,,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 12,0.2,,,,
Sony Playstation 3 Super Slim - 12GB - Black - Kit,PS3 Super Slim 12GB,1,,,,
,PS3 Controller Generic - Black,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack,0.15,,,,
Sony Playstation 4 - 500GB - Black - Kit,PS4 Console - Black,1,,,,
,PS4 500GB Hard Drive Generic,1,,,,
,PS4 Hard Drive Caddy Generic,1,,,,
,PS4 Controller Generic - Black,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 14,0.2,,,,
PS4 Slim 1TB Console - Kit,PS4 Slim 1TB Console,1,,,,
,PS4 Controller Generic - Black,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 12,0.2,,,,
Sony PSP 1000 - Black - Kit,Sony PSP 1000 - Black,1,,,,
,Sony PSP - Power Supply,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 12,0.04,,,,
PS3 Super Slim 250GB - Kit,PS3 Super Slim 250GB,1,,,,
,PS3 Controller Generic - Black,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 12,0.2,,,,
PS4 Original 500GB - Kit,PS4 Original 500GB Console - Black,1,,,,
,PS4 Generic Controller - Black,1,,,,
,HDMI Cable - 3FT,1,,,,
,2 Prong Cable - 3FT,1,,,,
,Micro USB Cable - 3FT,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 12,0.2,,,,
PS4 Slim 500GB - Kit,PS4 Slim 500 GB Console - Black,1,,,,
,PS4 Controller Generic - Black,1,,,,
,HDMI Cable - 3FT,1,,,,
,2 Prong Cable - 3FT,1,,,,
,Micro USB Cable - 3FT,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 12,0.2,,,,
PS4 Original 1TB - Black - Kit,PS4 Original 1TB Console - Black,1,,,,
,PS4 Controller Generic - Black,1,,,,
,Hdmi Cable - 3 FT,1,,,,
,2 Prong Cables,1,,,,
,Micro USB Cable - 3FT,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 12,0.2,,,,
Sony Playstation 3 Super Slim - 500GB -Black - Kit,PS3 Super Slim 12GB,1,,,,
,PS3 Controller Generic - Black,1,,,,
,PS3 500GB Hard Drive Generic,1,,,,
,PS3 Super Slim Hard Drive Caddy Generic,1,,,,
,2 Prong Cables,1,,,,
,Hdmi Cable - 3 FT,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 12,0.2,,,,
Nintendo N64 Kit,Nintendo 64 AV Cable,1,,,,
,Nintendo 64 Console Only,1,,,,
,Nintendo 64 Controller - Gray,1,,,,
,Nintendo 64 Power Adapter,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 14,0.125,,,,
Playstation 4 Pro 1TB - Kit,PS4 Pro 1TB Console - Black,1,,,,
Playstation 4 Pro 1TB - Kit,PS4 Controller Generic - Black,1,,,,
Playstation 4 Pro 1TB - Kit,Hdmi Cable - 3 FT,1,,,,
Playstation 4 Pro 1TB - Kit,2 Prong Cables,1,,,,
Playstation 4 Pro 1TB - Kit,Micro USB Cable - 3FT,1,,,,
,Bubble Bags,1,,,,
,Small Boxes,1,,,,
,MasterPack 14,0.25,,,,
PS3 Slim 250GB - Kit,PS3 Slim Console,1,,,,
